zone,bed,n_ab,n_sale,guests,area,guests_per_m2,ppsm,rev_market,rev_prof,rev_per_m2,price_med,rev_per_m2_over_ppsm
Morretes,3,10,141,8.0,70.0,0.11428571428571428,11457.142857142857,123065.58445986401,124256.02767263968,1775.0861096091382,849560.0,0.15493270283371532
Morretes,2,51,827,5.0,69.0,0.07246376811594203,11719.04347826087,71117.85642165264,98785.3832134981,1431.6722204854798,790000.0,0.12216630334559889
Tabuleiro dos Oliveiras,2,12,103,6.0,69.0,0.08695652173913043,11714.285714285714,76955.67444915156,104588.20400049788,1515.7710724709837,780000.0,0.12939509155240106
Meia Praia (beach band),2,132,229,6.0,86.0,0.06976744186046512,13032.608695652174,84415.19987653987,124442.138539649,1447.001610926151,1099200.0,0.11102931459983811
Meia Praia (inland),2,55,121,6.0,84.0,0.07142857142857142,11428.57142857143,70061.1685689927,109624.75431413612,1305.056598977811,996142.0,0.11419245241055846
Centro,1,78,16,4.0,43.5,0.09195402298850575,17044.513457556935,70344.60023597348,86118.10833647431,1979.7266284246969,895000.0,0.11615037492002776
Centro,2,65,78,6.0,86.0,0.06976744186046512,13387.09677419355,84058.95955923217,104719.02112683568,1217.6630363585543,1145000.0,0.09095796175208477
Meia Praia (beach band),3,269,1567,8.0,129.0,0.06201550387596899,14871.794871794871,110012.53201416363,148108.34683365523,1148.1267196407382,1881800.0,0.07720162425170482
Meia Praia (inland),3,58,731,8.0,124.0,0.06451612903225806,13669.724770642202,99678.79559766082,131353.91533477567,1059.305768828836,1694830.0,0.07749283812237794
Centro,3,45,410,8.0,131.0,0.061068702290076333,15789.473684210529,121187.18200328804,138271.88257797496,1055.5105540303432,2100000.0,0.06684900175525506
Meia Praia (beach band),4,57,1162,10.0,190.0,0.05263157894736842,17793.42723004695,178559.1384760409,221958.42790807795,1168.2022521477786,3500000.0,0.06565358303627357
