airbnb_listing_id,latitude,longitude,suburb,country,state,city,aquisition_date,dist_beach_km,comp_300m,comp_1km,micro_zone
1207992119242235910,-27.09306,-48.61326,Centro,Brasil,Santa Catarina,Itapema,2025-11-03 19:00:38.406,0.24734683181542166,240,702,Centro
794092172388379022,-27.0940494537,-48.6120910645,Centro,Brasil,Santa Catarina,Itapema,2023-06-26 19:14:29.000,0.08843120716631103,205,731,Centro
768031350632379804,-27.1359996796,-48.5989990234,Meia Praia,Brasil,Santa Catarina,Itapema,2022-12-06 12:43:34.000,0.4555934039338818,337,1874,Meia Praia (inland)
753076868199108828,-27.12413,-48.60815,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:41:57.002,0.3721678025385083,256,1495,Meia Praia (inland)
540415335028124722,-27.1319999695,-48.5989990234,Meia Praia,Brasil,Santa Catarina,Itapema,2023-01-19 12:18:27.000,0.1636559729974765,426,1983,Meia Praia (beach band)
780281674162046667,-27.1318397522,-48.6023483276,Meia Praia,Brasil,Santa Catarina,Itapema,2023-01-19 12:18:27.000,0.40655050411783833,369,1925,Meia Praia (inland)
752994213751607067,-27.1223,-48.61452,Morretes,Brasil,Santa Catarina,Itapema,2024-10-07 19:01:22.631,0.8707590555142322,45,915,Morretes
765220485646135765,-27.1289997101,-48.6059989929,Meia Praia,Brasil,Santa Catarina,Itapema,2022-12-06 12:43:34.000,0.5111312515247619,323,1758,Meia Praia (inland)
756349386368160913,-27.1310005188,-48.5989990234,Meia Praia,Brasil,Santa Catarina,Itapema,2022-12-06 12:43:34.000,0.09013252110859522,378,1924,Meia Praia (beach band)
773039905942910109,-27.1229991913,-48.608001709,Meia Praia,Brasil,Santa Catarina,Itapema,2023-01-19 12:18:27.000,0.30747905804389264,307,1423,Meia Praia (beach band)
770849753679081492,-27.1270008087,-48.6069984436,Meia Praia,Brasil,Santa Catarina,Itapema,2022-12-06 12:43:34.000,0.45382154048001955,310,1657,Meia Praia (inland)
792096103347120988,-27.1060009003,-48.6150016785,Tabuleiro dos Oliveiras,Brasil,Santa Catarina,Itapema,2023-01-19 12:18:27.000,0.21637652937220325,125,428,Tabuleiro dos Oliveiras
799251513158018593,-27.1149997711,-48.6090011597,Morretes,Brasil,Santa Catarina,Itapema,2023-01-19 12:18:27.000,0.06120251326296806,96,671,Morretes
807901303033876952,-27.104999542236328,-48.61399841308594,Centro,Brasil,Santa Catarina,Itapema,2023-02-22 16:36:39.000,0.10017006285535787,109,461,Centro
792567012140217848,-27.13800048828125,-48.59400177001953,Meia Praia,Brasil,Santa Catarina,Itapema,2023-03-02 13:02:00.000,0.206336375063646,357,1518,Meia Praia (beach band)
16992951,-27.10152,-48.61475,Centro,Brasil,Santa Catarina,Itapema,2024-10-07 19:01:22.190,0.17136715007477626,170,680,Centro
37417268,-27.090370178222656,-48.61484146118164,Centro,Brasil,Santa Catarina,Itapema,2023-02-09 15:17:56.000,0.5564656678717579,114,620,Centro
1176887674899695718,-27.130096435546875,-48.60426330566406,Meia Praia,Brasil,Santa Catarina,Itapema,2024-06-17 19:01:54.279,0.4516748119834585,382,1842,Meia Praia (inland)
683254546329214746,-27.1407299042,-48.5958213806,Meia Praia,Brasil,Santa Catarina,Itapema,2023-06-26 19:09:50.000,0.5139678546941556,224,1363,Meia Praia (inland)
711735081107146147,-27.0967331744,-48.6143698543,Centro,Brasil,Santa Catarina,Itapema,2022-10-03 13:39:14.000,0.15255221669498603,183,774,Centro
27397473,-27.1303596497,-48.6029014587,Meia Praia,Brasil,Santa Catarina,Itapema,2022-11-28 11:33:01.000,0.35767361049894886,395,1907,Meia Praia (inland)
54218940,-27.13747,-48.59465,Meia Praia,Brasil,Santa Catarina,Itapema,2024-10-07 19:50:14.722,0.22151109227020085,373,1578,Meia Praia (beach band)
