airbnb_listing_id,occ,rev_window,adr,nights,number_of_bedrooms,number_of_guests,listing_type,number_of_reviews,star_rating,is_professional,cleaning_fee,picture_count,min_nights,number_of_bathrooms,is_guest_favorite,can_instant_book,suburb,micro_zone,dist_beach_km,comp_300m,comp_1km,rev_annual_gross,occ_paid,bed_bucket,am_crib,am_workspace,am_pool,am_grill,am_gym,am_elevator,am_beach,am_seaview,am_spa,am_parking,am_dishwasher,tx_family,tx_couple,tx_group,tx_biz,tx_long,tx_luxury,tx_seafront,pets_ok,guests,bedrooms,beds,baths,beds_per_bed,guests_per_bed,cleaning_fee_c,price_wd,price_we,weekend_price_premium,occ_wd,occ_we,weekend_occ_lift,occ_high,occ_low,season_concentration,segment
1977915,0.8141732046155119,79382.90250407282,917.4734895634832,105,3,6,apartamento,42,4.880000114440918,False,240.0,42,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.2044479273546331,424,1979,158951.07938171836,0.7327558841539608,3,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,6,3,3,2.0,1.0,2.0,240.0,850.0,850.0,0.0,1.0,1.0,0.0,,0.0,,Alto padrão e frente-mar
2951220,0.3364946358002191,29907.481596381265,805.2603567748625,105,3,5,apartamento,236,4.880000114440918,False,200.0,16,0,2.0,False,False,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,0.2347416699857953,98,416,59884.765250171855,0.3028451722201972,3,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,5,3,4,2.0,1.3333333333333333,1.6666666666666667,200.0,670.0,688.5,0.027611940298507553,0.33333333333333337,0.5,0.16666666666666663,0.7142857142857143,0.0,0.7142857142857143,Alto padrão e frente-mar
3263701,0.9709971145975972,151609.39161712196,1484.358669324412,105,4,12,apartamento,42,4.900000095367432,False,250.0,62,0,4.0,False,False,Meia Praia,Meia Praia (beach band),0.074985328013713,379,1905,303572.62939221435,0.8738974031378376,4,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,12,4,4,4.0,1.0,3.0,250.0,1650.0,1650.0,0.0,1.0,1.0,0.0,,0.8378378378378378,,Alto padrão e frente-mar
3977675,0.8140311212882754,20546.586706078197,237.50776581863897,105,0,5,apartamento,21,4.619999885559082,False,50.0,8,0,1.0,False,False,Meia Praia,Meia Praia (inland),0.9309929023905876,11,704,41141.12776833317,0.7326280091594478,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,5,0,3,1.0,3.0,5.0,50.0,198.0,198.0,0.0,0.33333333333333337,0.25,-0.08333333333333337,0.6785714285714286,0.5405405405405406,0.13803088803088803,Casais e escapadas curtas
6569062,0.0394652234629495,3315.4662600061756,740.1300761622404,105,3,6,apartamento,21,4.949999809265137,False,250.0,13,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.1482290476573018,158,625,6638.670596034361,0.0355187011166545,3,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,6,3,3,2.0,1.0,2.0,250.0,750.0,750.0,0.0,0.0,0.0,0.0,0.0,0.027027027027026973,-0.027027027027026973,Famílias
8287843,0.6720096971976683,48274.783762517865,669.1479601443511,105,2,6,apartamento,42,4.880000114440918,False,270.0,16,0,2.0,True,True,Meia Praia,Meia Praia (beach band),0.0628020033345261,264,1344,96662.23763457856,0.6048087274779015,2,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,6,2,2,2.0,1.0,3.0,270.0,700.0,700.0,0.0,0.8888888888888888,1.0,0.11111111111111116,0.8928571428571429,0.0,0.8928571428571429,Famílias
8838629,0.7929502547481151,66624.93196747724,789.4784371055215,105,3,15,apartamento,88,4.699999809265137,True,200.0,40,0,2.0,False,True,Morretes,Morretes,0.0254974837167355,91,691,133405.3620604352,0.7136552292733036,3,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,15,3,11,2.0,3.6666666666666665,5.0,200.0,650.0,650.0,0.0,0.8888888888888888,1.0,0.11111111111111116,0.8928571428571429,0.08108108108108103,0.8117760617760619,Alto padrão e frente-mar
8936081,0.957303590077822,52733.87085947364,523.236493485427,105,2,5,apartamento,35,4.889999866485596,False,250.0,25,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.0225791928714513,285,1829,105590.819038891,0.8615732310700398,2,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,5,2,4,2.0,2.0,2.5,250.0,460.0,460.0,0.0,1.0,1.0,0.0,,0.4864864864864865,,Famílias
9327293,0.9477554871855214,93653.30216645788,938.0442837530428,105,4,9,apartamento,50,4.960000038146973,False,450.0,40,0,3.0,True,True,Meia Praia,Meia Praia (beach band),0.0542192940571108,317,1908,187525.18486278516,0.8529799384669693,4,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,9,4,5,3.0,1.25,2.25,450.0,900.0,900.0,0.0,0.5555555555555556,0.75,0.19444444444444442,0.8214285714285714,0.5405405405405406,0.2808880308880308,Grupos e amigos
9658725,0.9888152928942624,35328.52129155749,340.0334496018014,105,2,6,apartamento,165,4.639999866485596,False,250.0,14,0,2.0,False,True,Meia Praia,Meia Praia (beach band),0.1901203553462863,67,1592,70739.49698381175,0.8899337636048362,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,6,2,3,2.0,1.5,3.0,250.0,300.0,300.0,0.0,1.0,1.0,0.0,,0.7297297297297297,,Famílias
