airbnb_listing_id,occ,rev_window,adr,nights,number_of_bedrooms,number_of_guests,listing_type,number_of_reviews,star_rating,is_professional,cleaning_fee,picture_count,min_nights,number_of_bathrooms,is_guest_favorite,can_instant_book,suburb,micro_zone,dist_beach_km,comp_300m,comp_1km,rev_annual_gross,occ_paid,bed_bucket
1977915,0.8141732046155117,79382.90250407299,917.4734895634859,105,3,6,apartamento,42,4.880000114440918,False,240.0,42,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.2044479273546331,424,1979,158951.07938171853,0.7327558841539605,3
2951220,0.33649463580022093,29907.481596381454,805.2603567748652,105,3,5,apartamento,236,4.880000114440918,False,200.0,16,0,2.0,False,False,Tabuleiro dos Oliveiras,Tabuleiro dos Oliveiras,0.2347416699857107,98,416,59884.76525017216,0.30284517222019885,3
3263701,0.9709971145975972,151609.39161712243,1484.3586693244165,105,4,12,apartamento,42,4.900000095367432,False,250.0,62,0,4.0,False,False,Meia Praia,Meia Praia (beach band),0.074985328013713,379,1905,303572.62939221493,0.8738974031378375,4
3977675,0.8140311212882749,20546.586706078255,237.5077658186399,105,0,5,apartamento,21,4.619999885559082,False,50.0,8,0,1.0,False,False,Meia Praia,Meia Praia (inland),0.9309929023905876,11,704,41141.12776833324,0.7326280091594475,0
6569062,0.03946522346294983,3315.466260006208,740.1300761622433,105,3,6,apartamento,21,4.949999809265137,False,250.0,13,0,2.0,True,False,Meia Praia,Meia Praia (beach band),0.1482290476573018,158,625,6638.670596034416,0.03551870111665485,3
8287843,0.6720096971976677,48274.783762517916,669.1479601443532,105,2,6,apartamento,42,4.880000114440918,False,270.0,16,0,2.0,True,True,Meia Praia,Meia Praia (beach band),0.0628020033345261,264,1344,96662.23763457852,0.6048087274779009,2
8838629,0.7929502547481149,66624.93196747737,789.478437105524,105,3,15,apartamento,88,4.699999809265137,True,200.0,40,0,2.0,False,True,Morretes,Morretes,0.0254974837167355,91,691,133405.3620604353,0.7136552292733034,3
8936081,0.9573035900778217,52733.87085947383,523.2364934854292,105,2,5,apartamento,35,4.889999866485596,False,250.0,25,0,2.0,False,False,Meia Praia,Meia Praia (beach band),0.0225791928714513,285,1829,105590.81903889123,0.8615732310700396,2
9327293,0.9477554871855212,93653.30216645822,938.0442837530466,105,4,9,apartamento,50,4.960000038146973,False,450.0,40,0,3.0,True,True,Meia Praia,Meia Praia (beach band),0.0542192940571108,317,1908,187525.18486278557,0.8529799384669691,4
9658725,0.9888152928942624,35328.5212915576,340.0334496018025,105,2,6,apartamento,165,4.639999866485596,False,250.0,14,0,2.0,False,True,Meia Praia,Meia Praia (beach band),0.1901203553462863,67,1592,70739.49698381189,0.8899337636048362,2
