airbnb_listing_id,occ,adr,rev,n,number_of_reviews,star_rating,number_of_bedrooms,number_of_guests,listing_type,is_professional,picture_count,cleaning_fee,min_nights,suburb,latitude,longitude,rb
1977915,0.8141732046155117,917.4734895634859,79382.90250407299,105,42.0,4.880000114440918,3.0,6.0,apartamento,False,42.0,240.0,0.0,Meia Praia,-27.13283,-48.59872,30+
2951220,0.33649463580022093,805.2603567748652,29907.481596381454,105,236.0,4.880000114440918,3.0,5.0,apartamento,False,16.0,200.0,0.0,Tabuleiro dos Oliveiras,-27.10719263436897,-48.61494767563308,30+
3263701,0.9709971145975972,1484.3586693244165,151609.39161712243,105,42.0,4.900000095367432,4.0,12.0,apartamento,False,62.0,250.0,0.0,Meia Praia,-27.13068,-48.59912,30+
3977675,0.8140311212882749,237.5077658186399,20546.586706078255,105,21.0,4.619999885559082,0.0,5.0,apartamento,False,8.0,50.0,0.0,Meia Praia,-27.14327,-48.60145,11-30
5443557,0.3103668401499948,796.0063692000833,27333.435691196766,105,107.0,4.869999885559082,1.0,5.0,casa,True,41.0,198.0,0.0,Canto da Praia,-27.08924,-48.59807,30+
6569062,0.03946522346294983,740.1300761622433,3315.466260006208,105,21.0,4.949999809265137,3.0,6.0,apartamento,False,13.0,250.0,0.0,Meia Praia,-27.14416,-48.58828,11-30
8287843,0.6720096971976677,669.1479601443532,48274.783762517916,105,42.0,4.880000114440918,2.0,6.0,apartamento,False,16.0,270.0,0.0,Meia Praia,-27.13834,-48.59205,30+
8838629,0.7929502547481149,789.478437105524,66624.93196747737,105,88.0,4.699999809265137,3.0,15.0,apartamento,True,40.0,200.0,0.0,Morretes,-27.11535,-48.60848,30+
8936081,0.9573035900778217,523.2364934854292,52733.87085947383,105,35.0,4.889999866485596,2.0,5.0,apartamento,False,25.0,250.0,0.0,Meia Praia,-27.12977,-48.59872,30+
9327293,0.9477554871855212,938.0442837530466,93653.30216645822,105,50.0,4.960000038146973,4.0,9.0,apartamento,False,40.0,450.0,0.0,Meia Praia,-27.13233,-48.59719,30+
9658725,0.9888152928942624,340.0334496018025,35328.5212915576,105,165.0,4.639999866485596,2.0,6.0,apartamento,False,14.0,250.0,0.0,Meia Praia,-27.13083,-48.59539,30+
9784227,0.9759298865692323,447.3018013403754,45904.47645049266,105,24.0,4.539999961853027,2.0,6.0,apartamento,False,51.0,180.0,0.0,Meia Praia,-27.14155,-48.59225,11-30
10266012,0.7270378516813676,132.2548958773884,10281.124651002756,105,69.0,4.739999771118164,1.0,2.0,outros,False,14.0,15.0,0.0,Morretes,-27.12133,-48.6129,30+
10340400,0.9960650349005847,335.5768536379046,35105.41408571417,105,55.0,4.929999828338623,3.0,6.0,apartamento,False,18.0,250.0,0.0,Meia Praia,-27.13319,-48.59961,30+
10982940,0.5207216675649115,1882.415311991909,106481.63754218249,105,7.0,5.0,4.0,8.0,apartamento,False,35.0,300.0,0.0,Meia Praia,-27.14,-48.59169,3-10
11044577,0.7671725628000584,413.70447806975295,33838.785241984064,105,26.0,4.380000114440918,1.0,4.0,apartamento,False,40.0,306.0,0.0,Centro,-27.09914,-48.61549,11-30
11508986,0.9841800530112214,324.1290857138716,33527.85714929808,105,15.0,4.869999885559082,2.0,5.0,casa,False,13.0,150.0,0.0,Centro,-27.09954,-48.61661,11-30
11567423,0.7773576250295698,909.0352010184148,75287.52904010747,105,24.0,4.880000114440918,3.0,6.0,apartamento,False,41.0,400.0,0.0,Centro,-27.09902,-48.61393,11-30
12067632,0.9626588206700614,716.8374291410132,72625.46775378272,105,21.0,5.0,3.0,8.0,apartamento,False,35.0,350.0,0.0,Meia Praia,-27.13567,-48.60029,11-30
12359560,0.9357879473627331,780.9794926097584,77046.03357212472,105,29.0,4.789999961853027,3.0,6.0,apartamento,False,30.0,295.0,0.0,Meia Praia,-27.13953,-48.59034,11-30
12490354,0.6433343904492208,765.40153439906,52976.688972926444,105,42.0,4.980000019073486,3.0,6.0,apartamento,False,39.0,250.0,0.0,Centro,-27.10159,-48.61487,30+
12931525,0.92255143324476,488.2891761395243,47530.04591784109,105,20.0,4.849999904632568,3.0,6.0,apartamento,True,23.0,300.0,0.0,Meia Praia,-27.12938,-48.602,11-30
13522176,0.9405685406896237,2198.1305553241223,217893.9366452671,105,144.0,4.829999923706055,5.0,15.0,apartamento,False,34.0,435.0,0.0,Meia Praia,-27.13158,-48.59957,30+
14872547,0.6339229057971575,594.6704663178563,40586.57320608213,105,32.0,4.690000057220459,2.0,5.0,apartamento,False,44.0,230.0,0.0,Meia Praia,-27.1262207031,-48.6029510498,30+
14884678,0.9370715941304373,692.4119063477003,68396.6815405604,105,20.0,4.699999809265137,3.0,6.0,apartamento,False,28.0,250.0,0.0,Meia Praia,-27.13012,-48.59922,11-30
15024197,0.9775894577815986,732.638608811399,75307.3279954725,105,12.0,4.75,3.0,8.0,apartamento,False,24.0,250.0,0.0,Centro,-27.10046,-48.61441,11-30
15500038,0.5428667370218159,513.2473730083053,30212.89126691891,105,25.0,4.880000114440918,3.0,9.0,apartamento,False,12.0,300.0,0.0,Meia Praia,-27.14104,-48.59176,11-30
15523493,0.847289819587209,656.4630950738972,58977.40482827033,105,96.0,4.960000038146973,3.0,8.0,apartamento,False,30.0,250.0,0.0,Meia Praia,-27.129932403564453,-48.59961318969727,30+
15549803,0.9307284457857177,758.6897988778898,74466.42861794044,105,82.0,4.929999828338623,4.0,8.0,apartamento,False,53.0,350.0,0.0,Morretes,-27.11511,-48.60905,30+
15732070,0.8497197356182462,781.2379249262872,70377.15586706348,105,40.0,4.949999809265137,3.0,6.0,apartamento,False,17.0,240.0,0.0,Meia Praia,-27.144,-48.587,30+
