zone,bed,n_ab,n_sale,customer,customer_share,customer_2,guests,adr,occ,rev,price,area,ppsm,net_yield,payback,season,wk_price,rev_rank,yield_rank,evidence
Morretes,3,10,141,Alto padrão e frente-mar,0.4,Grupos e amigos,8.0,723.952518523213,0.8454151978272814,123065.58445986401,849560.0,70.0,11457.142857142857,0.0779410323789851,12.83021239874705,0.7142857142857143,0.0,2,1,fina
Tabuleiro dos Oliveiras,2,12,103,Famílias,0.8333333333333334,Grupos e amigos,6.0,461.69793724710536,0.8213315492717813,76955.67444915156,780000.0,69.0,11714.285714285714,0.0675870422552467,14.795735493549746,0.49517374517374513,0.0,8,2,fina
Morretes,2,51,827,Famílias,0.5882352941176471,Casais e escapadas curtas,5.0,491.1448215259253,0.7732642649216367,71117.85642165264,790000.0,69.0,11719.04347826087,0.0621029664841576,16.102290383424744,0.6332046332046333,0.0,9,3,forte
Meia Praia (beach band),2,132,229,Famílias,0.8636363636363636,Casais e escapadas curtas,6.0,515.0379163498851,0.8697940030607494,84415.19987653987,1099200.0,86.0,13032.608695652174,0.0573578196034721,17.43441446891168,0.5468146718146718,0.0,6,4,forte
Meia Praia (inland),2,55,121,Famílias,0.8181818181818182,Casais e escapadas curtas,6.0,507.2927134927087,0.7773576250295701,70061.1685689927,996142.0,84.0,11428.57142857143,0.0543610788666886,18.395514232753396,0.5207528957528957,0.0,11,5,forte
Centro,1,78,16,Casais e escapadas curtas,1.0,,4.0,488.68610675095533,0.6595722005230814,70344.60023597348,895000.0,43.5,17044.513457556935,0.0451547485902355,22.14606505895252,0.7142857142857143,0.10698535347710765,10,6,forte
Centro,2,65,78,Famílias,0.7538461538461538,Casais e escapadas curtas,6.0,620.9528203035309,0.7374420048493442,84058.95955923217,1145000.0,86.0,13387.09677419355,0.0435812718613952,22.945635987411638,0.6423745173745173,0.0,7,7,forte
Meia Praia (beach band),3,269,1567,Grupos e amigos,0.48698884758364314,Famílias,8.0,716.0880705480433,0.8332480592604609,110012.53201416363,1881800.0,129.0,14871.794871794871,0.0393843235802661,25.390813122941633,0.5357142857142857,0.0,4,8,forte
Meia Praia (inland),3,58,731,Famílias,0.4827586206896552,Grupos e amigos,8.0,702.1083078149431,0.7773576250295702,99678.79559766082,1694830.0,124.0,13669.724770642202,0.0377923648277167,26.460371150592984,0.625,0.0,5,9,forte
Meia Praia (beach band),4,57,1162,Alto padrão e frente-mar,0.5789473684210527,Grupos e amigos,10.0,1157.3640972297933,0.8417660224962298,178559.1384760409,3500000.0,190.0,17793.42723004695,0.0325785739831068,30.695020614423985,0.4642857142857143,0.0,1,10,forte
Centro,3,45,410,Alto padrão e frente-mar,0.35555555555555557,Famílias,8.0,765.4015343990568,0.8238987955055945,121187.18200328804,2100000.0,131.0,15789.473684210529,0.031119968348311,32.1337087752621,0.6148648648648649,0.0,3,11,forte
