listing_id,link_url,listing_title,business_types,listing_type,property_type,sale_price,rental_price,rental_period,yearly_iptu,monthly_condo_fee,amenities,usable_area,bathrooms,bedrooms,parking_spaces,state,city,suburb,advertiser_name,portal,aquisition_date,dupkey,sub_raw,macro_zone,micro_zone,ppsm,am_pool,am_elevator,am_gym,am_grill,am_partyhall,am_playground,am_sauna,am_furnished,is_beachfront_title,bed_bucket,txt_dist_m,txt_frentemar,txt_quadra_mar,is_offplan,dist_beach_km,guests_est,rev_pred,capex,occ,opex,noi,gross_yield,net_yield,payback_yrs,condo_annual,n_comps
2687011752,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-131m2-venda-RS1598122-id-2687011752/,ITAPEMA - Apartamento Padrão - Meia Praia,Venda,apartamento,UNIT,1598122.0,,,,,"[""POOL"", ""ELEVATOR"", ""PLAYGROUND"", ""PARTY_HALL""]",131,4,3,2,SC,Itapema,Meia Praia,Leonardo Batista,GRUPOZAP,2025-01-11 00:00:00.000,Leonardo Batista|1598122.0|131|3|Meia Praia,meia praia,Meia Praia,Meia Praia (beach band),12199.404580152672,1,1,0,0,1,1,0,0,0,3,,0,0,0,0.1595238489308625,8.0,143817.79940150955,1717766.133,0.7499232533344148,66143.58391631968,77674.21548518987,0.08372373668255896,0.045218155133571886,22.115011040279207,7200.0,269.0
2697432835,https://www.vivareal.com.br/imovel/apartamento-3-quartos-castelo-branco-bairros-itapema-com-garagem-118m2-venda-RS1450000-id-2697432835/,Apartamento com 118 m² 3 suítes em Itapema - SC - REF. 9076,Venda,apartamento,UNIT,1450000.0,,,,,[],118,4,3,2,SC,Itapema,Meia Praia,JMARINHO IMÓVEIS,GRUPOZAP,2025-01-11 00:00:00.000,JMARINHO IMÓVEIS|1450000.0|118|3|Meia Praia,meia praia,Meia Praia,Meia Praia (beach band),12288.13559322034,0,0,0,0,0,0,0,0,0,3,,0,0,0,0.1595238489308625,6.0,147756.89541526645,1557525.0,0.7499232533344148,65553.86851907105,82203.0268961954,0.09486646789956274,0.05277798230923767,18.947294993976517,7200.0,269.0
2612161501,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-125m2-venda-RS1500000-id-2612161501/,Apartamento 03 Suítes e 03 Vagas na Meia Praia,Venda,apartamento,UNIT,1500000.0,,,,,"[""FURNISHED"", ""KITCHEN""]",125,4,3,3,SC,Itapema,Castelo Branco,CONFIARI INVESTIMENTOS IMOBILIÁRIOS,GRUPOZAP,2025-01-11 00:00:00.000,CONFIARI INVESTIMENTOS IMOBILIÁRIOS|1500000.0|125|3|Castelo Branco,castelo branco,Meia Praia,Meia Praia (inland),12000.0,0,0,0,0,0,0,0,1,0,3,,0,0,0,0.4580544642579884,8.0,130417.1840751172,1614750.0,0.6996218625266132,61124.72590702306,69292.45816809413,0.08076617685407475,0.04291218960711821,23.30340188080548,6600.0,58.0
2598271159,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-70m2-venda-RS870000-id-2598271159/,Apartamento à venda de 2 quartos em Itapema SC,Venda,apartamento,UNIT,870000.0,,,800.0,350.0,"[""POOL"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""BALCONY"", ""GYM"", ""PETS_ALLOWED"", ""GOURMET_SPACE"", ""PLAYGROUND"", ""GOURMET_BALCONY"", ""BARBECUE_BALCONY"", ""CHILDRENS_POOL"", ""PARTY_HALL"", ""NEAR_ACCESS_ROADS"", ""RECREATION_AREA"", ""SOUNDPROOFING"", ""LARGE_WINDOW"", ""TOYS_PLACE"", ""SOLARIUM"", ""DISABLED_ACCESS"", ""GAMES_ROOM"", ""ADULT_POOL"", ""ELECTRONIC_GATE"", ""ENTRANCE_HALL""]",70,3,2,1,SC,Itapema,Morretes,PB IMÓVEIS,GRUPOZAP,2025-01-11 00:00:00.000,PB IMÓVEIS|870000.0|70|2|Morretes,morretes,Morretes,Morretes,12428.57142857143,1,1,1,1,1,1,0,0,0,2,,0,0,0,0.3257284929846319,6.0,98785.3832134981,933555.0,0.695937838429473,43233.35563890372,55552.02757459439,0.10581635063118736,0.05950589689369602,16.805057182592247,4200.0,51.0
2691331590,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-130m2-venda-RS2150000-id-2691331590/,"Apartamento 3 Suítes, 3 Vagas - Meia Praia - Itapema - SC",Venda,apartamento,UNIT,2150000.0,,,,,"[""POOL"", ""FURNISHED"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GATED_COMMUNITY"", ""GYM"", ""PETS_ALLOWED"", ""GOURMET_SPACE"", ""AIR_CONDITIONING"", ""PLAYGROUND"", ""GOURMET_BALCONY"", ""PARTY_HALL"", ""BICYCLES_PLACE"", ""BUILTIN_WARDROBE"", ""AMERICAN_KITCHEN"", ""GAMES_ROOM"", ""DISABLED_ACCESS"", ""SPA"", ""ELECTRONIC_GATE""]",130,4,3,3,SC,Itapema,Andorinha,Adriano Ramos,GRUPOZAP,2025-01-11 00:00:00.000,Adriano Ramos|2150000.0|130|3|Andorinha,andorinha,Meia Praia,Meia Praia (inland),16538.46153846154,1,1,1,1,1,1,0,1,0,3,,0,0,0,0.4580544642579884,8.0,132305.78438148607,2255475.0,0.6996218625266132,67547.44596829683,64758.33841318924,0.05865983191189708,0.028711618800114937,34.82910549077076,6600.0,58.0
2719046954,https://www.vivareal.com.br/imovel/apartamento-5-quartos-centro-bairros-itapema-com-garagem-470m2-venda-RS10500000-id-2719046954/,"Apartamento 5 suítes, 470 m² privativos, frente mar em Centro - Itapema - SC",Venda,apartamento,UNIT,10500000.0,,,4500.0,1750.0,"[""POOL"", ""FURNISHED"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GYM"", ""PETS_ALLOWED"", ""GOURMET_SPACE"", ""AIR_CONDITIONING"", ""SERVICE_AREA"", ""PLAYGROUND"", ""PARTY_HALL"", ""INTERNET_ACCESS"", ""GAS_SHOWER"", ""CLOSET"", ""AMERICAN_KITCHEN"", ""LARGE_KITCHEN"", ""HIGH_CEILING_HEIGHT"", ""GAMES_ROOM"", ""DISABLED_ACCESS"", ""SPA"", ""SAUNA"", ""ELECTRONIC_GATE"", ""INTEGRATED_ENVIRONMENTS"", ""BATHTUB"", ""WHIRLPOOL"", ""SEA_VIEW""]",470,6,5,4,SC,Itapema,Centro,Airton Investimentos Imobiliários Itapema,GRUPOZAP,2025-01-11 00:00:00.000,Airton Investimentos Imobiliários Itapema|10500000.0|470|5|Centro,centro,Centro,Centro,22340.425531914894,1,1,1,1,1,1,1,1,1,4,,1,0,0,0.05,15.170426065162914,304191.09080614214,10817250.0,0.8214485425251516,151655.51047220404,152535.5803339381,0.02812092637279735,0.014101142188073502,70.91624115710161,21000.0,5.0
2705744229,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-117m2-venda-RS1648500-id-2705744229/,"Apto novo e finamente mobiliado 117 m², 2 suítes + 1 dormitório, em Meia Praia - Itapema - SC",Venda,apartamento,UNIT,1648500.0,,,1375.0,590.0,"[""POOL"", ""FURNISHED"", ""BARBECUE_GRILL"", ""ELEVATOR"", ""GYM"", ""PETS_ALLOWED"", ""GOURMET_SPACE"", ""AIR_CONDITIONING"", ""GARDEN"", ""PLAYGROUND"", ""PARTY_HALL"", ""CONCIERGE_24H"", ""RECREATION_AREA"", ""AMERICAN_KITCHEN"", ""GAMES_ROOM"", ""DISABLED_ACCESS"", ""SPA"", ""SAUNA"", ""COWORKING"", ""ELECTRONIC_GATE""]",117,3,3,2,SC,Itapema,Meia Praia,Airton Investimentos Imobiliários BC,GRUPOZAP,2025-01-11 00:00:00.000,Airton Investimentos Imobiliários BC|1648500.0|117|3|Meia Praia,meia praia,Meia Praia,Meia Praia (beach band),14089.74358974359,1,1,1,1,1,1,1,1,0,3,,0,0,0,0.1595238489308625,6.0,147157.43123309215,1750160.25,0.7499232533344148,60869.50068263619,86287.93055045596,0.08408226117185107,0.04930287415135612,20.28279318828503,7080.0,269.0
2617641178,https://www.vivareal.com.br/imovel/apartamento-4-quartos-centro-bairros-itapema-com-garagem-150m2-venda-RS3900000-id-2617641178/,"Apartamento 4 dormitórios para Venda em Itapema, CENTRO, 4 dormitórios, 4 suítes, 5 banheiros, 3 vag",Venda,apartamento,UNIT,3900000.0,,,,,"[""POOL"", ""GATED_COMMUNITY"", ""GOURMET_SPACE"", ""PLAYGROUND"", ""PARTY_HALL"", ""NEAR_SCHOOL"", ""NEAR_SHOPPING_CENTER"", ""KITCHEN"", ""ADULT_GAME_ROOM"", ""SPA"", ""ELECTRONIC_GATE"", ""FITNESS_ROOM""]",150,5,4,3,SC,Itapema,Centro,INEZ JESUS NUNES LIMA,GRUPOZAP,2025-01-11 00:00:00.000,INEZ JESUS NUNES LIMA|3900000.0|150|4|Centro,centro,Centro,Centro,26000.0,1,0,0,0,1,1,0,0,0,4,,0,0,0,0.196202185867394,8.0,169738.45609113947,3988349.9999999995,0.8214485425251516,98589.98352920351,71148.47256193595,0.042558565845810796,0.017839074444804485,56.0567199320839,11880.0,5.0
2644816494,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-105m2-venda-RS1350000-id-2644816494/,ITAPEMA - Padrão - Meia Praia,Venda,apartamento,UNIT,1350000.0,,,,,"[""GYM"", ""SERVICE_AREA"", ""PLAYGROUND"", ""PARTY_HALL"", ""DINNER_ROOM"", ""ADULT_GAME_ROOM""]",105,2,3,2,SC,Itapema,Meia Praia,Otto House,GRUPOZAP,2025-01-11 00:00:00.000,Otto House|1350000.0|105|3|Meia Praia,meia praia,Meia Praia,Meia Praia (beach band),12857.142857142857,0,0,1,0,1,1,0,0,0,3,,0,0,0,0.1595238489308625,6.0,147756.89541526645,1444275.0,0.7499232533344148,64623.86851907106,83133.0268961954,0.10230523647869447,0.05756038628114133,17.373059227151725,7200.0,269.0
2760827827,https://www.vivareal.com.br/imovel/apartamento-3-quartos-meia-praia-bairros-itapema-com-garagem-175m2-venda-RS1945000-id-2760827827/,"APARTAMENTO PARA VENDA COM TERRAÇO, TEM 175M², 200 MTS DO MAR EM MEIA PRAIA - ITAPEMA - SC",Venda,apartamento,UNIT,1945000.0,,,,,"[""POOL"", ""ELEVATOR"", ""GATED_COMMUNITY"", ""GYM"", ""PETS_ALLOWED"", ""GOURMET_SPACE"", ""GARDEN"", ""SERVICE_AREA"", ""PLAYGROUND"", ""GOURMET_BALCONY"", ""CHILDRENS_POOL"", ""PARTY_HALL"", ""SPORTS_COURT"", ""RECREATION_AREA"", ""INTERNET_ACCESS"", ""DINNER_ROOM"", ""DISABLED_ACCESS"", ""INTEGRATED_ENVIRONMENTS"", ""HOT_TUB"", ""ADULT_POOL"", ""ELECTRONIC_GATE"", ""GAMES_ROOM"", ""MASSAGE"", ""SAUNA"", ""LAVABO"", ""PORCELAIN""]",175,4,3,2,SC,Itapema,Andorinha,Airton Investimentos Imobiliários Itapema,GRUPOZAP,2025-01-11 00:00:00.000,Airton Investimentos Imobiliários Itapema|1945000.0|175|3|Andorinha,andorinha,Meia Praia,Meia Praia (inland),11114.285714285714,1,1,1,0,1,1,1,0,0,3,200.0,0,0,0,0.2,9.0,150906.66208032946,2109292.5,0.6996218625266132,69361.12150806551,81545.54057226396,0.07154373425228103,0.038660138682645465,25.86643592276869,6600.0,58.0
