,,net_yield,lo,hi,payback
Morretes,3,0.0792771642805785,0.07354223673801513,0.08700126171259494,12.61397287699129
Tabuleiro dos Oliveiras,2,0.068599654390861,0.06573244734145445,0.07439617216926377,14.577332916318921
Morretes,2,0.06364066712481091,0.06211499103178155,0.06486417706070688,15.713223087979552
Meia Praia (beach band),2,0.05788948990222953,0.05512271149033422,0.06271120749876401,17.27429282394638
Meia Praia (inland),2,0.05524223897455887,0.053439728561783084,0.0581782785390566,18.102090330924813
Centro,1,0.04533298876458709,0.030377512993822364,0.05725933706264587,22.058991194976603
Centro,2,0.04402578920581868,0.03902959837595361,0.04867062465870453,22.713959659531437
Meia Praia (beach band),3,0.03992053257193162,0.03941882672219402,0.04075216854766964,25.049766011967144
Meia Praia (inland),3,0.03814124259815588,0.037517966727480576,0.03911629635960344,26.218338257504747
Meia Praia (beach band),4,0.032720639343976635,0.03179501385014516,0.03293970299725771,30.561750016173953
Centro,3,0.03151664971254152,0.03003225325767087,0.03353262808970079,31.729260854844824
