zone,bed_bucket,n_ab,occ,adr,rev_med,rev_p75,rev_mean,n_sale,price,price_p25,area,ppsm,condo,iptu,capex,noi,opex,gross_yield,net_yield,payback_yrs,rev_per_m2
Morretes,3,10,0.760873678044553,723.9525185232158,123065.58445986424,140170.43699151286,130114.11938865665,151,845000.0,714238.5,70.0,11449.27536231884,400.0,800.0,909142.5,73425.86740600961,49639.717053854634,0.13536446097269048,0.08076387079694285,12.38177405481478,1758.0797779980605
Tabuleiro dos Oliveiras,2,12,0.739198394344603,461.69793724710706,76955.67444915153,87089.7319894669,70580.86220536061,105,780000.0,695000.0,69.0,11660.238095238095,350.0,875.0,844470.0,37721.205932211116,39234.46851694041,0.09112896189225375,0.04466849732046268,22.387142169250883,1115.2996296978483
Morretes,2,51,0.6959378384294728,491.1448215259275,71117.85642165258,90931.70945070949,106123.75226537377,871,790000.0,683400.0,69.0,11754.21875,350.0,700.0,854235.0,33890.00614111798,37227.85028053461,0.08325326920771518,0.039672930916103855,25.206103428927268,1030.6935713282983
Centro,1,78,0.5936149804707728,488.6861067509574,70344.60023597348,88405.05136327737,69564.16163504326,18,890000.0,660000.0,42.0,18077.380952380954,500.0,1000.0,919485.0,32387.054134546343,37957.54610142714,0.07650434779901084,0.03522303695497626,28.390510485460045,1674.8714341898449
Meia Praia (beach band),2,132,0.7828146027546744,515.0379163498873,84415.19987653993,105695.84683937143,87594.69428871726,231,1099000.0,929500.0,85.0,13032.608695652174,499.0,965.0,1175173.5,39611.08005098642,44804.11982555351,0.07183211659941272,0.033706580390883915,29.667797456856647,993.1199985475287
Centro,2,65,0.6636978043644094,620.9528203035339,84058.95955923217,96035.35037895688,85596.69705059858,79,1150000.0,898948.5,86.0,13387.09677419355,500.0,1000.0,1226175.0,40998.43121070031,43060.52834853186,0.06855380313514153,0.0334360358111202,29.907851685797592,977.4297623166532
Meia Praia (inland),4,8,0.5111659905117178,1157.8416100479728,150533.43993260703,173112.71757325614,134413.02093901424,332,2695500.0,2099852.5,183.0,14901.088465191031,800.0,2200.0,2851755.75,84696.77555193065,65836.66438067638,0.05278623175656156,0.02969987017714636,33.67018084710303,822.587103456869
Casa Branca,2,11,0.6488219660555854,385.5719976536512,53030.03776306983,63690.707495049515,54754.16146987218,20,655000.0,588500.0,69.5,9714.285714285714,350.0,280.0,723007.5,21241.379417992874,31788.658345076954,0.0733464559677041,0.02937919650625045,34.037690574255464,763.0221260873357
Centro,3,45,0.7415089159550348,765.40153439906,121187.18200328822,154567.77590607942,136224.30684089544,424,2100000.0,1750000.0,131.0,15789.473684210529,600.0,1275.0,2207850.0,63530.46165806913,57656.720345219095,0.05488922798346275,0.02877480882218861,34.75262011919563,925.0929923915131
Meia Praia (inland),2,55,0.6996218625266128,507.2927134927108,70061.1685689928,92875.36523272011,84484.41613473465,123,999000.0,850000.0,84.0,11521.739130434782,465.5,750.0,1076323.5,30576.295763194626,39484.87280579817,0.0650930399354774,0.02840809084182834,35.20123916696262,834.0615305832476
Meia Praia (beach band),3,269,0.7499232533344143,716.0880705480455,110012.53201416382,144299.4758322979,117437.5866965417,1600,1880000.0,1550000.0,129.0,14900.0,600.0,1500.0,1990619.9999999998,55250.536175313304,54761.99583885052,0.05526546101926226,0.027755441106445886,36.028971622712255,852.8103256911925
Meia Praia (inland),3,58,0.6996218625266128,702.1083078149456,99678.79559766108,123945.39785411648,104083.65032180698,754,1692415.0,1417600.0,124.0,13670.178174794786,550.0,1400.0,1801443.2475,49382.017636129254,50296.77796153183,0.05533274264176401,0.02741247480577611,36.47974169006036,803.8612548198474
Meia Praia (beach band),4,57,0.7575894202466065,1157.364097229797,178559.13847604117,231504.73298413225,188647.7036693333,1202,3500000.0,2697350.0,190.0,17877.09497206704,900.0,2800.0,3645750.0,97528.90455328242,81030.23392275875,0.04897734032120721,0.026751396709396538,37.38122576787723,939.7849393475851
