zone,bed_bucket,n_ab,occ,adr,rev_med,rev_p75,rev_mean,n_sale,price,price_p25,area,ppsm,condo,iptu,capex,noi,opex,gross_yield,net_yield,payback_yrs,rev_per_m2
Morretes,3,10,0.760873678044553,723.9525185232158,123065.58445986424,140170.43699151286,130114.11938865665,151,845000.0,714238.5,70.0,11449.27536231884,400.0,800.0,909142.5,73425.86740600961,49639.717053854634,0.13536446097269048,0.08076387079694285,12.38177405481478,1758.0797779980605
Tabuleiro dos Oliveiras,2,12,0.739198394344603,461.69793724710706,76955.67444915153,87089.7319894669,70580.86220536061,101,780939.0,695000.0,69.0,11660.238095238095,350.0,875.0,845386.9334999999,37716.83958221112,39238.83486694041,0.09103012052782282,0.044614883537481505,22.41404483685109,1115.2996296978483
Morretes,2,51,0.6959378384294728,491.1448215259275,71117.85642165258,90931.70945070949,106123.75226537377,871,790000.0,683400.0,69.0,11754.21875,350.0,700.0,854235.0,33890.00614111798,37227.85028053461,0.08325326920771518,0.039672930916103855,25.206103428927268,1030.6935713282983
Meia Praia,1,20,0.7067417315613653,514.6617878073748,77337.20016236942,92400.41755853497,76117.8128337041,45,875000.0,750000.0,40.0,20280.0,715.0,1000.0,902437.5,33612.77718900012,43724.42297336931,0.0856981233186447,0.03724665385580732,26.848049327364876,1933.4300040592357
Centro,1,78,0.5936149804707728,488.6861067509574,70344.60023597348,88405.05136327737,69564.16163504326,18,890000.0,660000.0,42.0,18077.380952380954,500.0,1000.0,919485.0,32387.054134546343,37957.54610142714,0.07650434779901084,0.03522303695497626,28.390510485460045,1674.8714341898449
Centro,2,65,0.6636978043644094,620.9528203035339,84058.95955923217,96035.35037895688,85596.69705059858,78,1145000.0,898422.75,86.0,13387.09677419355,500.0,1000.0,1221292.5,41021.68121070031,43037.27834853186,0.06882786847477748,0.03358874406475133,29.77187828375575,977.4297623166532
Meia Praia,2,187,0.7785935042986339,514.8996501434001,81267.87275359311,103652.8256315495,86679.90659636943,231,1099000.0,929500.0,85.0,13032.608695652174,499.0,965.0,1175173.5,37162.54989476943,44105.32285882368,0.06915393578360396,0.03162303259456534,31.62252061087455,956.0926206305072
Casa Branca,2,11,0.6488219660555854,385.5719976536512,53030.03776306983,63690.707495049515,54754.16146987218,20,655000.0,588500.0,69.5,9714.285714285714,350.0,280.0,723007.5,21241.379417992874,31788.658345076954,0.0733464559677041,0.02937919650625045,34.037690574255464,763.0221260873357
Centro,3,45,0.7415089159550348,765.40153439906,121187.18200328822,154567.77590607942,136224.30684089544,423,2100000.0,1750000.0,131.0,15789.473684210529,600.0,1275.0,2207850.0,63530.46165806913,57656.720345219095,0.05488922798346275,0.02877480882218861,34.75262011919563,925.0929923915131
Meia Praia,3,327,0.7386468432409382,715.1238056699473,108069.70065179009,142184.30269879167,115068.99859337774,1591,1879950.0,1550000.0,129.0,14871.794871794871,600.0,1500.0,1990571.1749999998,53881.71862119966,54187.98203059043,0.05429079954992822,0.027068471249815856,36.943349728581474,837.7496174557372
Meia Praia,4,65,0.7266340333752791,1157.364097229797,171292.7756521849,225172.86047372146,181972.6657948325,1197,3500000.0,2696800.0,190.0,17877.09497206704,900.0,2800.0,3645750.0,92224.25652355897,79068.51912862594,0.04698423524711922,0.025296374277873956,39.53135690574726,901.5409244851837
