week_start,exp_rev,label
2025-01-06,748.0971236796687,6 jan
2025-01-13,783.1143632812617,13 jan
2025-01-20,745.7787204620006,20 jan
2025-01-27,679.8377998856411,27 jan
2025-02-03,661.7877623744907,3 fev
2025-02-10,632.7085237198195,10 fev
2025-02-17,610.4088921580673,17 fev
2025-02-24,656.8586057961759,24 fev
2025-03-03,619.6631223823632,3 mar
2025-03-10,501.87071518981725,10 mar
2025-03-17,482.06615577246396,17 mar
2025-03-24,441.1580329994199,24 mar
2025-03-31,422.34947532160584,31 mar
2025-04-07,435.5645093622722,7 abr
2025-04-14,508.06886384219274,14 abr
