micro_zone,segment,n,adr,occ,rev,wk
Meia Praia (beach band),Alto padrão e frente-mar,75,1313.6285276455858,0.7560595763635635,187514.3273903276,0.0
Centro,Alto padrão e frente-mar,23,1083.9269599216327,0.8977668217788104,175882.1800256775,0.0
Meia Praia (inland),Alto padrão e frente-mar,11,1235.1059141021926,0.4166661680932335,121777.25609402797,0.0
Meia Praia (inland),Grupos e amigos,29,682.5674980500075,0.7913990764733042,108069.70065179007,0.0
Meia Praia (beach band),Grupos e amigos,162,689.0703382986217,0.8728127779102357,107881.06919899091,0.0
Centro,Grupos e amigos,18,678.2510154545935,0.7395552442528749,104848.43564598664,0.0
Meia Praia (beach band),Famílias,211,574.1146513429621,0.8651038936651488,94108.73427177922,0.0
Centro,Famílias,65,593.5383864099588,0.7813712499336893,86077.46768991873,0.0
Meia Praia (inland),Famílias,74,539.0836583555777,0.7852685906237393,82724.03581478467,0.0
Tabuleiro dos Oliveiras,Famílias,13,559.6288857135033,0.8037369162075058,80727.86205053385,0.0
Meia Praia (beach band),Casais e escapadas curtas,21,562.1546755603621,0.8499760937146786,79571.43676258612,0.0
Centro,Casais e escapadas curtas,87,481.88473699784976,0.6658487444121027,71601.69799697862,0.09946236559139776
Morretes,Casais e escapadas curtas,21,499.33751814205374,0.7690894867653032,71117.85642165258,0.030000000000000027
Morretes,Famílias,33,448.6291449384096,0.8651038936651488,70928.72720400158,0.0
Meia Praia (inland),Casais e escapadas curtas,24,501.83148937953763,0.6966664335204524,66818.22628661792,0.0
